"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","119","85730","0.0-4.0-2.34","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","120","86242","0.0-4.0-0.35","fixation","","","","","","","","","","",""
"347","","j","psychophysics","121","87109","0.0-4.0-1.35","response","J","true","key","j","16.688571428571734","500","400","Red","Red","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","122","87623","0.0-4.0-2.35","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","123","88135","0.0-4.0-0.36","fixation","","","","","","","","","","",""
"329","","j","psychophysics","124","88978","0.0-4.0-1.36","response","J","true","key","j","16.681549999999696","500","400","Red","Blue","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","125","89483","0.0-4.0-2.36","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","126","89993","0.0-4.0-0.37","fixation","","","","","","","","","","",""
"347","","j","psychophysics","127","90860","0.0-4.0-1.37","response","J","true","key","j","16.684049999999843","500","400","Red","Red","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","128","91373","0.0-4.0-2.37","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","129","91887","0.0-4.0-0.38","fixation","","","","","","","","","","",""
"393","","f","psychophysics","130","92793","0.0-4.0-1.38","response","F","true","key","f","16.684956521739167","500","400","Blue","Blue","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","131","93310","0.0-4.0-2.38","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","132","93820","0.0-4.0-0.39","fixation","","","","","","","","","","",""
"390","","j","psychophysics","133","94754","0.0-4.0-1.39","response","J","true","key","j","17.37991666666676","500","400","Red","Red","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","134","95269","0.0-4.0-2.39","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","135","95778","0.0-4.0-0.40","fixation","","","","","","","","","","",""
"455","","f","psychophysics","136","96753","0.0-4.0-1.40","response","J","false","key","f","16.68703571428549","500","400","Red","Blue","false","25"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","137","97266","0.0-4.0-2.40","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","138","97780","0.0-4.0-0.41","fixation","","","","","","","","","","",""
"575","","j","psychophysics","139","98869","0.0-4.0-1.41","response","F","false","key","j","16.68082857142851","500","400","Blue","Red","false","100"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","140","99382","0.0-4.0-2.41","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","141","99892","0.0-4.0-0.42","fixation","","","","","","","","","","",""
"482","","j","psychophysics","142","100897","0.0-4.0-1.42","response","J","true","key","j","16.691344827586676","500","400","Red","Red","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","143","101402","0.0-4.0-2.42","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","144","101915","0.0-4.0-0.43","fixation","","","","","","","","","","",""
"387","","j","psychophysics","145","102816","0.0-4.0-1.43","response","J","true","key","j","16.683739130435203","500","400","Red","Blue","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","146","103325","0.0-4.0-2.43","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","147","103833","0.0-4.0-0.44","fixation","","","","","","","","","","",""
"384","","j","psychophysics","148","104734","0.0-4.0-1.44","response","J","true","key","j","16.675565217391323","500","400","Red","Blue","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","149","105240","0.0-4.0-2.44","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","150","105748","0.0-4.0-0.45","fixation","","","","","","","","","","",""
