"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","correct_response","is_correct"
"1964","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with SOA -- 2 Colors.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","j","html-keyboard-response","0","1966","0.0-0.0","","","","","","","","","","","",""
"25860","
		<div style=""width:800px"">
			<p>You will see text in 2 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key F</li><li style=""color:Red"">Red - key J</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press F key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","f","html-keyboard-response","1","27828","0.0-1.0","","","","","","","","","","","",""
"2536","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","52725","0.0-3.0-0.11","fixation","","","","","","","","","","",""
"605","","j","psychophysics","37","53849","0.0-3.0-1.11","response","key","j","16.682567567567496","500","400","Blue","Red","false","250","F","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","38","54360","0.0-3.0-2.11","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","54869","0.0-3.0-0.12","fixation","","","","","","","","","","",""
"409","","f","psychophysics","40","55801","0.0-3.0-1.12","response","key","f","16.678399999999964","500","400","Blue","Red","false","250","F","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","41","56314","0.0-3.0-2.12","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","56824","0.0-3.0-0.13","fixation","","","","","","","","","","",""
"405","","f","psychophysics","43","57767","0.0-3.0-1.13","response","key","f","16.693800000000046","500","400","Blue","Blue","true","100","F","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","44","58281","0.0-3.0-2.13","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","58794","0.0-3.0-0.14","fixation","","","","","","","","","","",""
