width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,task,response_type,key_press,avg_frame_time,center_x,center_y,color,text,is_congruent,duration,is_soa,correct_response,is_correct,reaction_time
,,,,,,,,,,,psychophysics,69,160997,0.0-6.0-1.5,893,,b,response,key,b,16.67307692,500,400,Blue,Blue,TRUE,0,FALSE,B,TRUE,893
,,,,,,,,,,,html-keyboard-response,70,161500,0.0-6.0-2.5,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,71,162002,0.0-6.0-0.6,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,72,164245,0.0-6.0-1.6,1739,,b,response,key,b,16.61165049,500,400,Blue,Red,FALSE,0,FALSE,B,TRUE,1739
,,,,,,,,,,,html-keyboard-response,73,164747,0.0-6.0-2.6,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,74,165249,0.0-6.0-0.7,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,75,167019,0.0-6.0-1.7,1265,,y,response,key,y,16.65333333,500,400,Yellow,Yellow,TRUE,0,FALSE,Y,TRUE,1265
,,,,,,,,,,,html-keyboard-response,76,167520,0.0-6.0-2.7,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,77,168022,0.0-6.0-0.8,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,78,169447,0.0-6.0-1.8,920,,g,response,key,g,16.55555556,500,400,Green,Red,FALSE,0,FALSE,G,TRUE,920
,,,,,,,,,,,html-keyboard-response,79,169949,0.0-6.0-2.8,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,80,170452,0.0-6.0-0.9,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,81,172130,0.0-6.0-1.9,1173,,g,response,key,g,16.66666667,500,400,Green,Blue,FALSE,0,FALSE,G,TRUE,1173
,,,,,,,,,,,html-keyboard-response,82,172632,0.0-6.0-2.9,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,83,173134,0.0-6.0-0.10,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,84,174553,0.0-6.0-1.10,910,,g,response,key,g,16.58490566,500,400,Green,Red,FALSE,200,TRUE,G,TRUE,710
,,,,,,,,,,,html-keyboard-response,85,175055,0.0-6.0-2.10,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,86,175556,0.0-6.0-0.11,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,87,177330,0.0-6.0-1.11,1268,,r,response,key,r,16.66666667,500,400,Red,Blue,FALSE,0,FALSE,R,TRUE,1268
,,,,,,,,,,,html-keyboard-response,88,177832,0.0-6.0-2.11,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,89,178334,0.0-6.0-0.12,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,90,179873,0.0-6.0-1.12,1033,,y,response,key,y,16.57377049,500,400,Yellow,Green,FALSE,200,TRUE,Y,TRUE,833
,,,,,,,,,,,html-keyboard-response,91,180374,0.0-6.0-2.12,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,92,180876,0.0-6.0-0.13,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
