"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","is_soa","correct_response","is_correct","reaction_time"
"","","","","","","","","","","","html-keyboard-response","165","168184","0.0-5.0-2.37","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","166","168689","0.0-5.0-0.38","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","167","170003","0.0-5.0-1.38","784","","y","response","key","y","17.016212765957807","500","400","Yellow","Yellow","true","200","true","Y","true","584"
"","","","","","","","","","","","html-keyboard-response","168","170504","0.0-5.0-2.38","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","169","171019","0.0-5.0-0.39","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","170","172479","0.0-5.0-1.39","949","","b","response","key","b","16.66184210526275","500","400","Blue","Yellow","false","200","true","B","true","749"
"","","","","","","","","","","","html-keyboard-response","171","172988","0.0-5.0-2.39","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","172","173494","0.0-5.0-0.40","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","173","174598","0.0-5.0-1.40","592","","y","response","key","y","16.66252777777845","500","400","Yellow","Yellow","true","200","true","Y","true","392"
"","","","","","","","","","","","html-keyboard-response","174","175111","0.0-5.0-2.40","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","175","175612","0.0-5.0-0.41","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","176","176800","0.0-5.0-1.41","682","","y","response","key","y","16.661268292683484","500","400","Yellow","Blue","false","200","true","Y","true","482"
"","","","","","","","","","","","html-keyboard-response","177","177307","0.0-5.0-2.41","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","178","177814","0.0-5.0-0.42","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","179","179001","0.0-5.0-1.42","658","","r","response","key","r","16.659600000000502","500","400","Blue","Blue","true","200","true","B","false","458"
"","","","","","","","","","","","html-keyboard-response","180","179506","0.0-5.0-2.42","null","<p style=""font-size:60pt"">Wrong</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","181","180010","0.0-5.0-0.43","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","182","181445","0.0-5.0-1.43","907","","r","response","key","r","16.66398181818182","500","400","Red","Green","false","200","true","R","true","707"
"","","","","","","","","","","","html-keyboard-response","183","181949","0.0-5.0-2.43","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","184","182454","0.0-5.0-0.44","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","185","183551","0.0-5.0-1.44","577","","r","response","key","r","16.66339999999951","500","400","Red","Red","true","0","false","R","true","577"
"","","","","","","","","","","","html-keyboard-response","186","184062","0.0-5.0-2.44","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","187","184568","0.0-5.0-0.45","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","188","185688","0.0-5.0-1.45","610","","y","response","key","y","16.66433333333407","500","400","Yellow","Yellow","true","200","true","Y","true","410"
"","","","","","","","","","","","html-keyboard-response","189","186196","0.0-5.0-2.45","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","190","186706","0.0-5.0-0.46","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","191","187887","0.0-5.0-1.46","654","","y","response","key","y","17.088538461538683","500","400","Red","Red","true","0","false","R","false","654"
"","","","","","","","","","","","html-keyboard-response","192","188029","0.0-5.0-2.46","141","<p style=""font-size:60pt"">Wrong</p>","r","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","193","188538","0.0-5.0-0.47","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","194","189912","0.0-5.0-1.47","868","","y","response","key","y","16.660403846153574","500","400","Yellow","Green","false","200","true","Y","true","668"
"","","","","","","","","","","","html-keyboard-response","195","190418","0.0-5.0-2.47","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","196","190933","0.0-5.0-0.48","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","197","192073","0.0-5.0-1.48","624","","g","response","key","g","16.663736842105497","500","400","Green","Yellow","false","0","false","G","true","624"
