"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"783","","g","psychophysics","113","102878","0.0-5.0-1.28","","response","G","true","key","g","16.683936170212853","500","400","Green","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","114","103384","0.0-5.0-2.28","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","115","103886","0.0-5.0-0.29","","fixation","","","","","","","","","",""
"713","","y","psychophysics","116","105107","0.0-5.0-1.29","","response","Y","true","key","y","16.684232558139335","500","400","Yellow","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","117","105610","0.0-5.0-2.29","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","118","106112","0.0-5.0-0.30","","fixation","","","","","","","","","",""
"692","","y","psychophysics","119","107311","0.0-5.0-1.30","","response","Y","true","key","y","16.68032499999972","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","120","107814","0.0-5.0-2.30","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","121","108329","0.0-5.0-0.31","","fixation","","","","","","","","","",""
"1086","","y","psychophysics","122","109926","0.0-5.0-1.31","","response","Y","true","key","y","16.682830769230854","500","400","Yellow","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","123","110428","0.0-5.0-2.31","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","124","110930","0.0-5.0-0.32","","fixation","","","","","","","","","",""
"718","","r","psychophysics","125","112167","0.0-5.0-1.32","","response","R","true","key","r","16.681681818181957","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","126","112670","0.0-5.0-2.32","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","127","113176","0.0-5.0-0.33","","fixation","","","","","","","","","",""
